Etunimi,Sukunimi,E-mail,Kurssin nimi,Kurssi alkaa,Kurssi päättyy,Status,Arvosana,Kurssin suorituspäivämäärä
Alban,Roche,alban.roche@example.com,Building without AI,2022-11-18,2023-02-01,failed,,2022-12-11
Alban,Roche,alban.roche@example.com,Building AI,2022-11-18,2023-02-01,completed,1,2022-12-10
Lisa,Fowler,lisa.fowler@example.com,Building AI,2022-09-03,2022-11-30,completed,3,2022-09-11
Lisa,Howler,lisa.howler@example.com,Building AI,2022-09-03,2022-11-30,completed,3,2022-09-13
Jonas,Lecomte,jonas.lecomte@example.com,Building AI,2022-11-18,2023-02-01,completed,3,2023-01-08
Joel,Lassila,joel.lassila@example.com,Building AI,2022-11-18,2023-02-01,completed,5,2023-01-01
Jorge,Márquez,jorge.márquez@example.com,Elements of AI,2023-01-07,2023-04-30,inprogress,3,
Anaëlle,Aubert,anaëlle.aubert@example.com,Tietokoneen toiminnan perusteet,2023-03-08,2023-05-31,failed,0,2023-05-10
Matheo,Nordsveen,matheo.nordsveen@example.com,Ohjelmoinnin perusteet,2022-09-01,2022-11-15,completed,4,2022-12-27
Melissa,Kvalheim,melissa.kvalheim@example.com,Ohjelmoinnin perusteet,2022-09-01,2022-11-15,completed,3,2022-10-29
Melissa,Kvalheim,melissakvalheim@example.com,Ohjelmoinnin perusteet,2022-09-01,2022-11-15,completed,3,2022-10-29
Melissa,Kvalheim,melisskvalheim@example.com,Ohjelmoinnin perusteet,2022-09-01,2022-11-15,completed,2,2022-10-29
Melissa,Kvalheim,meliskvalheim@example.com,Ohjelmoinnin perusteet,2022-09-01,2022-11-15,completed,1,2022-11-01
Melissa,Kvalheim,melikvalheim@example.com,Ohjelmoinnin perusteet,2022-09-01,2022-11-15,completed,1,2022-10-29
Melissa,Kvalheim,mekvalheim@example.com,Ohjelmoinnin perusteet,2022-09-01,2022-11-15,completed,5,2022-10-10
